id,name,duration,rels,ES,EF,LS,LF,TF,critical,start_date,finish_date,dur_source
A1,C.I.P+H-PILE 천공,61,,0,61,0,61,0,CP,2026-05-01,2026-07-27,공정표(61일)
A2,차수 ADG 그라우팅,18,A1-SS+30,30,48,48,66,18,,2026-06-12,2026-07-08,공정표(18일)
A3,POST-PILE,12,A1-SS+40,40,52,364,376,324,,2026-06-26,2026-07-14,공정표(12일)
A4,복공판 설치,14,A1-FS+0,61,75,61,75,0,CP,2026-07-27,2026-08-14,"원단위(1,045/80)"
A5,1단 굴착(풍화토),30,A2-FS+0;A4-SS+5,66,96,66,96,0,CP,2026-08-03,2026-09-14,공정표(30일)
A6,띠장·버팀보/TLS 설치,30,A5-SS+10,76,106,76,106,0,CP,2026-08-17,2026-09-28,원단위/공정표
A7,"어스앵커(1,2단)",11,A5-SS+15,81,92,365,376,284,,2026-08-24,2026-09-08,공정표(11일)
A8,숏크리트,11,A9-SS+20,111,122,365,376,254,,2026-10-05,2026-10-20,"원단위(3,152/300)"
A9,암반 굴착(미진동+할암),242,A6-SS+15,91,333,91,333,0,CP,2026-09-07,2027-08-11,파서 bottom-up(7대)
A10,바닥면 고르기,9,A9-FS+0,333,342,333,342,0,CP,2027-08-11,2027-08-24,"원단위(4,841/600)"
A11,되메우기·성토,34,A10-FS+0,342,376,342,376,0,CP,2027-08-24,2027-10-11,"원단위(5,083+5,649)"
A12,잔여 가시설 철거,13,A11-SS+10,352,365,363,376,11,,2027-09-07,2027-09-24,파서/BOQ(13일)
